Item,All,Lowest,Second,Third,Fourth,Highest
Food,36012.79,3861.63,4978.29,6223.92,8435.86,12513.09
Alcoholic beverages,2419.33,157.73,260.84,349.95,568.81,1082
Housing,94474.65,10267.07,13551.71,16315.23,20687.24,33653.4
Apparel and services,9013.71,860.48,1163.57,1519.21,1959.14,3511.31
Transportation,45268.95,3767.46,5992.15,8464.07,10931.04,16114.23
Healthcare,23068.35,2155.71,3528.01,4266.24,5441.55,7676.84
Entertainment,14570.35,1146.29,1783.09,2344.28,3408.94,5887.75
Personal care products and services,3534.32,333.43,489.75,569.42,777.39,1364.33
Reading,589.65,64.38,85.67,96.26,114.66,228.68
Education,6650.78,681.37,758.7,617.67,988.18,3604.86
Tobacco products and smoking supplies,1685.98,304.57,334.86,361.6,382.52,302.43
Miscellaneous,4799.85,335.73,646.22,1007.94,1062.41,1747.55
Cash contributions,10413.5,557.97,1430.91,1301.49,1890.54,5232.59
Personal insurance and pensions,34202.17,644.57,1766.42,4227.2,8261.58,19302.4
